"Date","Day","Shift","Comment","Staff","Instrument","Nozzle","Day0","Day1AM","Day1PM","Day2AM","Day2PM","Day3AM","Day3PM"
2025-12-15,"Monday","Morning","","","Aria","","","","","","","",""
2025-12-15,"Monday","Morning","","","Aurora","","","","","","","",""
2025-12-15,"Monday","Morning","","","LB","","","","","","","",""
2025-12-15,"Monday","Afternoon","","","Aria","","","","","","","",""
2025-12-15,"Monday","Afternoon","","","Aurora","","","","","","","",""
2025-12-15,"Monday","Afternoon","","","LB","","","","","","","",""
2025-12-16,"Tuesday","Morning","","","Aria","","","","","","","",""
2025-12-16,"Tuesday","Morning","","","Aurora","","","","","","","",""
2025-12-16,"Tuesday","Morning","","","LB","","","","","","","",""
2025-12-16,"Tuesday","Afternoon","","","Aria","","","","","","","",""
2025-12-16,"Tuesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-16,"Tuesday","Afternoon","","","LB","","","","","","","",""
2025-12-17,"Wednesday","Morning","","","Aria","","","","","","","",""
2025-12-17,"Wednesday","Morning","","","Aurora","","","","","","","",""
2025-12-17,"Wednesday","Morning","","","LB","","","","","","","",""
2025-12-17,"Wednesday","Afternoon","","","Aria","","","","","","","",""
2025-12-17,"Wednesday","Afternoon","","","Aurora","","","","","","","",""
2025-12-17,"Wednesday","Afternoon","","","LB","","","","","","","",""
2025-12-18,"Thursday","Morning","","","Aria","","","","","","","",""
2025-12-18,"Thursday","Morning","","","Aurora","","","","","","","",""
2025-12-18,"Thursday","Morning","","","LB","","","","","","","",""
2025-12-18,"Thursday","Afternoon","","","Aria","","","","","","","",""
2025-12-18,"Thursday","Afternoon","","","Aurora","","","","","","","",""
2025-12-18,"Thursday","Afternoon","","","LB","","","","","","","",""
2025-12-19,"Friday","Morning","","","Aria","","","","","","","",""
2025-12-19,"Friday","Morning","","","Aurora","","","","","","","",""
2025-12-19,"Friday","Morning","","","LB","","","","","","","",""
2025-12-19,"Friday","Afternoon","","","Aria","","","","","","","",""
2025-12-19,"Friday","Afternoon","","","Aurora","","","","","","","",""
2025-12-19,"Friday","Afternoon","","","LB","","","","","","","",""
